channelName|channelNameURL
13 Ulica|13_ulica
4Fun Fit&Dance|tv_disco
4Fun Hits|mjuzik_tv
4FUN TV|4fun_tv
Adventure TV|adventure_tv
Al Jazeera|al_jazeera
ale kino+|ale_kino
AMC (dawniej MGM)|amc
Animal Planet HD|animal_planete_hd
ATM Rozrywka|atm_rozrywka
AXN Black|axn_black
AXN Crime|axn_crime
AXN Sci-fi|axn_sci_fi
AXN Spin|axn_spin
AXN White|axn_white
AXN|axn
Baby TV|baby_tv
BBC Brit|bbc_brit
BBC Cbeebies|bbc_cbeebies
BBC Earth|bbc_earth
BBC HD|bbc_hd
BBC Lifestyle|bbc_lifestyle
BBC World News|bbc_world_news
BBC|bbc
Bloomberg Europe|bloomberg_europe
Boomerang|boomerang
CANAL+ Discovery|canal_discovery
CANAL+ Family|canal_family
CANAL+ Film|canal_film
CANAL+ Seriale|canal_seriale
CANAL+ Sport 2|canal_sport_2
CANAL+ Sport|canal_sport
CANAL+1|canal_1
CANAL+|canal
Cartoon Network (PL)|cartoon_network_pl
CBS Action|cbs_action
CBS Drama|cbs_drama
CBS Europa|cbs_europa
CBS Reality|cbs_reality
CI POLSAT|crime_investigation_network_polsat
Cinemax 2|cinemax_2
Cinemax|cinemax
CNN|cnn
Comedy Central Family|comedy_central_family
Comedy Central|comedy_central
CT 1 (PL)|ct_1_pl
CT 2|ct_2
DaVinci Learning|davinci_learning
Disco Polo Music|disco_polo_music
Discovery Historia|discovery_historia
Discovery Life|discovery_life
Discovery Science|discovery_science
Discovery Turbo Xtra|discovery_turbo_xtra
Discovery|discovery
Disney Channel|disney_channel
Disney Junior|disney_junior
Disney XD|disney_xd
DOMO+|domo_tv
E!|e
Edusat|edusat
Eleven Sports|eleven_sports
Eleven|eleven
EskaTV|eskatv
Euronews (ANG)|euronews_ang
Eurosport 1|eurosport
Eurosport 2|eurosport_2
Extreme Sports|extreme_sports
Fashion TV (PL)|fashion_tv_pl
FightBox|fightbox
FightKlub|fight_klub
FilmBox Action|filmbox_action
FilmBox ArtHouse|filmbox_arthouse
Filmbox Extra|filmbox_extra
Filmbox Family|filmbox_family
Filmbox HD|filmbox_hd
Filmbox|filmbox
FOKUS TV|fokus_tv
FOX Comedy|fox_comedy
Fox HD|fox_hd
France 2|france_2
France 24|france_24
H2|h2
HBO2|hbo2
HBO3|hbo3
HBO|hbo
HISTORY|history
Investigation Discovery (ID)|investigation_discovery
ITV|itv
iTVN|itvn
Jim Jam|jim_jam
Kablówka TOYA Łódź|kablowka_toya_lodz
Kablówka WTK Poznań|kablowka_wtk_poznan
Kino Polska Muzyka|kino_polska_muzyka
Kino Polska|kino_polska
kuchnia+|kuchniatv
Lifetime|lifetime
LOVE|love
Mango 24|mango_24
