ProgramName|ageLimit|ProgramDescription|programCategory|timeStart|timeEnd|duration|Date
Dzikie party|18||0|23:00|0:05|0|2016-07-01
Dajemy ciała!|18||0|0:05|1:55|0|2016-07-01
Seksowna włoska robota|18||0|1:55|0|0|2016-07-01
Edukacja Reevsa|18||0|3:15|0|0|2016-07-01
Wojenna pociecha|18||0|23:00|0:35|0|2016-07-02
Dzikie party|18||0|0:35|1:40|0|2016-07-02
Seksuologia|18||0|1:40|0|0|2016-07-02
Podwładna|18||0|3:35|0|0|2016-07-02
Buchające libido|18||0|23:00|0:50|0|2016-07-03
Gust na młody biust|18||0|0:50|2:05|0|2016-07-03
Upadłe aniołki|18||0|2:05|0|0|2016-07-03
Dzikie party|18||0|3:55|0|0|2016-07-03
VIVA Power Dance|0||0|6:00|8:00|0|2016-07-05
VIVA Dance|0||0|8:00|10:00|0|2016-07-05
100% Dance|0||0|10:00|0|0|2016-07-05
VIVA Dance|0||0|12:00|14:00|0|2016-07-05
100% Dance|0||0|14:00|16:00|0|2016-07-05
VIVA Dance|0||0|16:00|18:00|0|2016-07-05
100% Dance|0||0|18:00|20:00|0|2016-07-05
VIVA Power Dance|0||0|20:00|22:00|0|2016-07-05
VIVA Dance Mix|0||0|22:00|0:00|0|2016-07-05
VIVA Dance|0||0|0:00|2:00|0|2016-07-05
VIVA Dance Mix|0||0|2:00|0|0|2016-07-05
VIVA Power Dance|0||0|6:00|8:00|0|2016-07-06
VIVA Dance|0||0|8:00|10:00|0|2016-07-06
100% Dance|0||0|10:00|0|0|2016-07-06
VIVA Dance|0||0|12:00|14:00|0|2016-07-06
100% Dance|0||0|14:00|16:00|0|2016-07-06
VIVA Dance|0||0|16:00|18:00|0|2016-07-06
100% Dance|0||0|18:00|20:00|0|2016-07-06
VIVA Power Dance|0||0|20:00|22:00|0|2016-07-06
VIVA Dance Mix|0||0|22:00|0:00|0|2016-07-06
VIVA Dance|0||0|0:00|2:00|0|2016-07-06
VIVA Dance Mix|0||0|2:00|0|0|2016-07-06
Młodzieńcze igraszki|18||0|23:00|23:30|0|2016-07-04
Wypad|18||0|23:30|0:00|0|2016-07-04
Grzeszni kochankowie|18||0|0:00|0|0|2016-07-04
Nice and naughty|18||0|0:20|0:50|0|2016-07-04
The Men 7 Show|18||0|0:50|1:40|0|2016-07-04
Pierwsze namiętności|18||0|1:40|2:00|0|2016-07-04
Młodzieńcze igraszki|18||0|2:00|2:30|0|2016-07-04
Wypad|18||0|2:30|3:00|0|2016-07-04
Grzeszni kochankowie|18||0|3:00|3:20|0|2016-07-04
Nice and naughty|18||0|3:20|3:50|0|2016-07-04
The Men 7 Show|18||0|3:50|4:40|0|2016-07-04
Pierwsze namiętności|18||0|4:40|0|0|2016-07-04
Młodzieńcze igraszki|18||0|23:00|23:30|0|2016-07-05
Wypad|18||0|23:30|0:00|0|2016-07-05
Grzeszni kochankowie|18||0|0:00|0|0|2016-07-05
Nice and naughty|18||0|0:20|0:50|0|2016-07-05
The Men 7 Show|18||0|0:50|1:40|0|2016-07-05
Pierwsze namiętności|18||0|1:40|2:00|0|2016-07-05
Młodzieńcze igraszki|18||0|2:00|2:30|0|2016-07-05
Wypad|18||0|2:30|3:00|0|2016-07-05
Grzeszni kochankowie|18||0|3:00|3:20|0|2016-07-05
Nice and naughty|18||0|3:20|3:50|0|2016-07-05
The Men 7 Show|18||0|3:50|4:40|0|2016-07-05
Pierwsze namiętności|18||0|4:40|0|0|2016-07-05
Młodzieńcze igraszki|18||0|23:00|23:30|0|2016-07-07
Wypad|18||0|23:30|0:00|0|2016-07-07
Grzeszni kochankowie|18||0|0:00|0|0|2016-07-07
Nice and naughty|18||0|0:20|0:50|0|2016-07-07
The Men 7 Show|18||0|0:50|1:40|0|2016-07-07
Pierwsze namiętności|18||0|1:40|2:00|0|2016-07-07
Młodzieńcze igraszki|18||0|2:00|2:30|0|2016-07-07
Wypad|18||0|2:30|3:00|0|2016-07-07
Grzeszni kochankowie|18||0|3:00|3:20|0|2016-07-07
Nice and naughty|18||0|3:20|3:50|0|2016-07-07
The Men 7 Show|18||0|3:50|4:40|0|2016-07-07
Pierwsze namiętności|18||0|4:40|0|0|2016-07-07
Młodzieńcze igraszki|18||0|23:00|23:30|0|2016-07-06
Wypad|18||0|23:30|0:00|0|2016-07-06
Grzeszni kochankowie|18||0|0:00|0|0|2016-07-06
Nice and naughty|18||0|0:20|0:50|0|2016-07-06
The Men 7 Show|18||0|0:50|1:40|0|2016-07-06
Pierwsze namiętności|18||0|1:40|2:00|0|2016-07-06
Młodzieńcze igraszki|18||0|2:00|2:30|0|2016-07-06
Wypad|18||0|2:30|3:00|0|2016-07-06
Grzeszni kochankowie|18||0|3:00|3:20|0|2016-07-06
Nice and naughty|18||0|3:20|3:50|0|2016-07-06
The Men 7 Show|18||0|3:50|4:40|0|2016-07-06
Pierwsze namiętności|18||0|4:40|0|0|2016-07-06
VIVA Power Dance|0||0|6:00|8:00|0|2016-07-07
VIVA Dance|0||0|8:00|10:00|0|2016-07-07
100% Dance|0||0|10:00|0|0|2016-07-07
VIVA Dance|0||0|12:00|14:00|0|2016-07-07
100% Dance|0||0|14:00|16:00|0|2016-07-07
VIVA Dance|0||0|16:00|18:00|0|2016-07-07
100% Dance|0||0|18:00|20:00|0|2016-07-07
VIVA Power Dance|0||0|20:00|22:00|0|2016-07-07
VIVA Dance Mix|0||0|22:00|0:00|0|2016-07-07
VIVA Dance|0||0|0:00|2:00|0|2016-07-07
VIVA Dance Mix|0||0|2:00|0|0|2016-07-07
VIVA Power Dance|0||0|6:00|8:00|0|2016-07-04
VIVA Dance|0||0|8:00|10:00|0|2016-07-04
100% Dance|0||0|10:00|0|0|2016-07-04
VIVA Dance|0||0|12:00|14:00|0|2016-07-04
100% Dance|0||0|14:00|16:00|0|2016-07-04
VIVA Dance|0||0|16:00|18:00|0|2016-07-04
100% Dance|0||0|18:00|20:00|0|2016-07-04
VIVA Power Dance|0||0|20:00|22:00|0|2016-07-04
VIVA Dance Mix|0||0|22:00|0:00|0|2016-07-04
VIVA Dance|0||0|0:00|2:00|0|2016-07-04
VIVA Dance Mix|0||0|2:00|0|0|2016-07-04
VIVA Power Dance|0||0|6:00|8:00|0|2016-07-02
Ty wybierasz|0||0|8:00|12:00|0|2016-07-02
VIVA Dance|0||0|12:00|0|0|2016-07-02
100% Dance|0||0|14:00|15:00|0|2016-07-02
Club Chart|0||0|15:00|16:00|0|2016-07-02
100% Dance|0||0|16:00|18:00|0|2016-07-02
VIVA Dance|0||0|18:00|20:00|0|2016-07-02
VIVA Power Dance|0||0|20:00|0:00|0|2016-07-02
VIVA Dance|0||0|0:00|2:00|0|2016-07-02
VIVA Dance Mix|0||0|2:00|0|0|2016-07-02
VIVA Power Dance|0||0|6:00|8:00|0|2016-07-03
VIVA Dance|0||0|8:00|10:00|0|2016-07-03
Ty wybierasz|0||0|10:00|0|0|2016-07-03
VIVA Dance|0||0|12:00|13:00|0|2016-07-03
Club Chart|0||0|13:00|14:00|0|2016-07-03
