ProgramName|ageLimit|ProgramDescription|programCategory|timeStart|timeEnd|duration|Date|channelNameURL
Buchające libido|18||0|23:00|0:50|0|2016-07-03|zest_tv
Gust na młody biust|18||0|0:50|2:05|0|2016-07-03|zest_tv
Upadłe aniołki|18||0|2:05|0|0|2016-07-03|zest_tv
Dzikie party|18||0|3:55|0|0|2016-07-03|zest_tv
Wojenna pociecha|18||0|23:00|0:35|0|2016-07-02|zest_tv
Dzikie party|18||0|0:35|1:40|0|2016-07-02|zest_tv
Seksuologia|18||0|1:40|0|0|2016-07-02|zest_tv
Podwładna|18||0|3:35|0|0|2016-07-02|zest_tv
Dzikie party|18||0|23:00|0:05|0|2016-07-01|zest_tv
Dajemy ciała!|18||0|0:05|1:55|0|2016-07-01|zest_tv
Seksowna włoska robota|18||0|1:55|0|0|2016-07-01|zest_tv
Edukacja Reevsa|18||0|3:15|0|0|2016-07-01|zest_tv
VIVA Power Dance|0||0|6:00|8:00|0|2016-07-05|viva
VIVA Dance|0||0|8:00|10:00|0|2016-07-05|viva
100% Dance|0||0|10:00|0|0|2016-07-05|viva
VIVA Dance|0||0|12:00|14:00|0|2016-07-05|viva
100% Dance|0||0|14:00|16:00|0|2016-07-05|viva
VIVA Dance|0||0|16:00|18:00|0|2016-07-05|viva
100% Dance|0||0|18:00|20:00|0|2016-07-05|viva
VIVA Power Dance|0||0|20:00|22:00|0|2016-07-05|viva
VIVA Dance Mix|0||0|22:00|0:00|0|2016-07-05|viva
VIVA Dance|0||0|0:00|2:00|0|2016-07-05|viva
VIVA Dance Mix|0||0|2:00|0|0|2016-07-05|viva
VIVA Power Dance|0||0|6:00|8:00|0|2016-07-02|viva
Ty wybierasz|0||0|8:00|12:00|0|2016-07-02|viva
VIVA Dance|0||0|12:00|0|0|2016-07-02|viva
100% Dance|0||0|14:00|15:00|0|2016-07-02|viva
Club Chart|0||0|15:00|16:00|0|2016-07-02|viva
100% Dance|0||0|16:00|18:00|0|2016-07-02|viva
VIVA Dance|0||0|18:00|20:00|0|2016-07-02|viva
VIVA Power Dance|0||0|20:00|0:00|0|2016-07-02|viva
VIVA Dance|0||0|0:00|2:00|0|2016-07-02|viva
VIVA Dance Mix|0||0|2:00|0|0|2016-07-02|viva
VIVA Power Dance|0||0|6:00|8:00|0|2016-07-01|viva
VIVA Dance|0||0|8:00|10:00|0|2016-07-01|viva
100% Dance|0||0|10:00|0|0|2016-07-01|viva
VIVA Dance|0||0|12:00|14:00|0|2016-07-01|viva
100% Dance|0||0|14:00|16:00|0|2016-07-01|viva
VIVA Dance|0||0|16:00|18:00|0|2016-07-01|viva
100% Dance|0||0|18:00|20:00|0|2016-07-01|viva
VIVA Power Dance|0||0|20:00|22:00|0|2016-07-01|viva
VIVA Dance Mix|0||0|22:00|0:00|0|2016-07-01|viva
VIVA Dance|0||0|0:00|2:00|0|2016-07-01|viva
VIVA Dance Mix|0||0|2:00|0|0|2016-07-01|viva
VIVA Power Dance|0||0|6:00|8:00|0|2016-07-03|viva
VIVA Dance|0||0|8:00|10:00|0|2016-07-03|viva
Ty wybierasz|0||0|10:00|0|0|2016-07-03|viva
VIVA Dance|0||0|12:00|13:00|0|2016-07-03|viva
Club Chart|0||0|13:00|14:00|0|2016-07-03|viva
VIVA Dance|0||0|14:00|16:00|0|2016-07-03|viva
100% Dance|0||0|16:00|18:00|0|2016-07-03|viva
VIVA Dance|0||0|18:00|20:00|0|2016-07-03|viva
VIVA Power Dance|0||0|20:00|22:00|0|2016-07-03|viva
VIVA Dance Mix|0||0|22:00|0:00|0|2016-07-03|viva
VIVA Dance|0||0|0:00|2:00|0|2016-07-03|viva
VIVA Dance Mix|0||0|2:00|0|0|2016-07-03|viva
Młodzieńcze igraszki|18||0|23:00|23:30|0|2016-07-07|zest_tv
Wypad|18||0|23:30|0:00|0|2016-07-07|zest_tv
Grzeszni kochankowie|18||0|0:00|0|0|2016-07-07|zest_tv
Nice and naughty|18||0|0:20|0:50|0|2016-07-07|zest_tv
The Men 7 Show|18||0|0:50|1:40|0|2016-07-07|zest_tv
Pierwsze namiętności|18||0|1:40|2:00|0|2016-07-07|zest_tv
Młodzieńcze igraszki|18||0|2:00|2:30|0|2016-07-07|zest_tv
Wypad|18||0|2:30|3:00|0|2016-07-07|zest_tv
Grzeszni kochankowie|18||0|3:00|3:20|0|2016-07-07|zest_tv
Nice and naughty|18||0|3:20|3:50|0|2016-07-07|zest_tv
The Men 7 Show|18||0|3:50|4:40|0|2016-07-07|zest_tv
Pierwsze namiętności|18||0|4:40|0|0|2016-07-07|zest_tv
VIVA Power Dance|0||0|6:00|8:00|0|2016-07-06|viva
VIVA Dance|0||0|8:00|10:00|0|2016-07-06|viva
100% Dance|0||0|10:00|0|0|2016-07-06|viva
VIVA Dance|0||0|12:00|14:00|0|2016-07-06|viva
100% Dance|0||0|14:00|16:00|0|2016-07-06|viva
VIVA Dance|0||0|16:00|18:00|0|2016-07-06|viva
100% Dance|0||0|18:00|20:00|0|2016-07-06|viva
VIVA Power Dance|0||0|20:00|22:00|0|2016-07-06|viva
VIVA Dance Mix|0||0|22:00|0:00|0|2016-07-06|viva
VIVA Dance|0||0|0:00|2:00|0|2016-07-06|viva
VIVA Dance Mix|0||0|2:00|0|0|2016-07-06|viva
Młodzieńcze igraszki|18||0|23:00|23:30|0|2016-07-05|zest_tv
Wypad|18||0|23:30|0:00|0|2016-07-05|zest_tv
Grzeszni kochankowie|18||0|0:00|0|0|2016-07-05|zest_tv
Nice and naughty|18||0|0:20|0:50|0|2016-07-05|zest_tv
The Men 7 Show|18||0|0:50|1:40|0|2016-07-05|zest_tv
Pierwsze namiętności|18||0|1:40|2:00|0|2016-07-05|zest_tv
Młodzieńcze igraszki|18||0|2:00|2:30|0|2016-07-05|zest_tv
Wypad|18||0|2:30|3:00|0|2016-07-05|zest_tv
Grzeszni kochankowie|18||0|3:00|3:20|0|2016-07-05|zest_tv
Nice and naughty|18||0|3:20|3:50|0|2016-07-05|zest_tv
The Men 7 Show|18||0|3:50|4:40|0|2016-07-05|zest_tv
Pierwsze namiętności|18||0|4:40|0|0|2016-07-05|zest_tv
Młodzieńcze igraszki|18||0|23:00|23:30|0|2016-07-04|zest_tv
Wypad|18||0|23:30|0:00|0|2016-07-04|zest_tv
Grzeszni kochankowie|18||0|0:00|0|0|2016-07-04|zest_tv
Nice and naughty|18||0|0:20|0:50|0|2016-07-04|zest_tv
The Men 7 Show|18||0|0:50|1:40|0|2016-07-04|zest_tv
Pierwsze namiętności|18||0|1:40|2:00|0|2016-07-04|zest_tv
Młodzieńcze igraszki|18||0|2:00|2:30|0|2016-07-04|zest_tv
Wypad|18||0|2:30|3:00|0|2016-07-04|zest_tv
Grzeszni kochankowie|18||0|3:00|3:20|0|2016-07-04|zest_tv
Nice and naughty|18||0|3:20|3:50|0|2016-07-04|zest_tv
The Men 7 Show|18||0|3:50|4:40|0|2016-07-04|zest_tv
Pierwsze namiętności|18||0|4:40|0|0|2016-07-04|zest_tv
VIVA Power Dance|0||0|6:00|8:00|0|2016-07-04|viva
VIVA Dance|0||0|8:00|10:00|0|2016-07-04|viva
100% Dance|0||0|10:00|0|0|2016-07-04|viva
VIVA Dance|0||0|12:00|14:00|0|2016-07-04|viva
100% Dance|0||0|14:00|16:00|0|2016-07-04|viva
VIVA Dance|0||0|16:00|18:00|0|2016-07-04|viva
100% Dance|0||0|18:00|20:00|0|2016-07-04|viva
VIVA Power Dance|0||0|20:00|22:00|0|2016-07-04|viva
VIVA Dance Mix|0||0|22:00|0:00|0|2016-07-04|viva
VIVA Dance|0||0|0:00|2:00|0|2016-07-04|viva
VIVA Dance Mix|0||0|2:00|0|0|2016-07-04|viva
VIVA Power Dance|0||0|6:00|8:00|0|2016-07-07|viva
VIVA Dance|0||0|8:00|10:00|0|2016-07-07|viva
100% Dance|0||0|10:00|0|0|2016-07-07|viva
VIVA Dance|0||0|12:00|14:00|0|2016-07-07|viva
100% Dance|0||0|14:00|16:00|0|2016-07-07|viva
VIVA Dance|0||0|16:00|18:00|0|2016-07-07|viva
100% Dance|0||0|18:00|20:00|0|2016-07-07|viva
VIVA Power Dance|0||0|20:00|22:00|0|2016-07-07|viva
VIVA Dance Mix|0||0|22:00|0:00|0|2016-07-07|viva
VIVA Dance|0||0|0:00|2:00|0|2016-07-07|viva
VIVA Dance Mix|0||0|2:00|0|0|2016-07-07|viva
Młodzieńcze igraszki|18||0|23:00|23:30|0|2016-07-06|zest_tv
Wypad|18||0|23:30|0:00|0|2016-07-06|zest_tv
Grzeszni kochankowie|18||0|0:00|0|0|2016-07-06|zest_tv
Nice and naughty|18||0|0:20|0:50|0|2016-07-06|zest_tv
The Men 7 Show|18||0|0:50|1:40|0|2016-07-06|zest_tv
Pierwsze namiętności|18||0|1:40|2:00|0|2016-07-06|zest_tv
Młodzieńcze igraszki|18||0|2:00|2:30|0|2016-07-06|zest_tv
Wypad|18||0|2:30|3:00|0|2016-07-06|zest_tv
Grzeszni kochankowie|18||0|3:00|3:20|0|2016-07-06|zest_tv
Nice and naughty|18||0|3:20|3:50|0|2016-07-06|zest_tv
The Men 7 Show|18||0|3:50|4:40|0|2016-07-06|zest_tv
Pierwsze namiętności|18||0|4:40|0|0|2016-07-06|zest_tv
Nothing But the 80's|0||0|5:00|1:00|0|2016-07-03|vh1_classic
Never Mind the Classics|0||0|1:00|5:00|0|2016-07-03|vh1_classic
Wake Me Up Before You Go Go|0||0|5:00|0|0|2016-07-03|vh1_classic
Nothing But the 80's|0||0|5:00|1:00|0|2016-07-02|vh1_classic
Never Mind the Classics|0||0|1:00|5:00|0|2016-07-02|vh1_classic
Nothing But the 80's|0||0|5:00|0|0|2016-07-02|vh1_classic
Wake Me Up Before You Go Go|0||0|5:00|7:00|0|2016-07-01|vh1_classic
Nothing But Classics|0||0|7:00|10:00|0|2016-07-01|vh1_classic
We Are the 80s|0||0|10:00|0|0|2016-07-01|vh1_classic
80s Vs 90s|0||0|12:00|13:00|0|2016-07-01|vh1_classic
Smells Like the 90s|0||0|13:00|15:00|0|2016-07-01|vh1_classic
90s vs 00s|0||0|15:00|16:00|0|2016-07-01|vh1_classic
Flashback Fridays|0||0|16:00|20:00|0|2016-07-01|vh1_classic
Welcome To the Weekend!|0||0|20:00|22:00|0|2016-07-01|vh1_classic
The Rock Show|0||0|22:00|23:00|0|2016-07-01|vh1_classic
Never Mind the Classics|0||0|23:00|5:00|0|2016-07-01|vh1_classic
Nothing But the 80's|0||0|5:00|0|0|2016-07-01|vh1_classic
Wake Me Up Before You Go Go|0||0|5:00|7:00|0|2016-07-06|vh1_classic
Nothing But Classics|0||0|7:00|9:00|0|2016-07-06|vh1_classic
Guess the Year|0||0|9:00|0|0|2016-07-06|vh1_classic
We Are the 80s|0||0|10:00|12:00|0|2016-07-06|vh1_classic
